;
;                          Classification Codes (CL)
;,,,,,,,,,
; SG = spiral galaxy           DN = diffuse nebula       OC = open cluster
; EG = elliptical galaxy       PN = planetary nebula     GC = globular cluster
; IG = irregular galaxy        DK = dark nebula          DS = double star
;                                                        QS = quasar
;       Compiled by Darrell W. Green - CompuServe [72406,1736]
;
Catalogue,Messier,Constellation,Class,Right ascension,Declination,Magnitude,Angular size,Burnham,Remarks
NGC2141,,Orion,Open cluster,6h 3.1m,10° 26',9.4,10,,number: 100
NGC2158,,Gemini,Open cluster,6h 7.5m,24° 6',8.6,5,*,nmbr: 40 - on edge of M35
NGC2168,M 35,Gemini,Open cluster,6h 8.9m,24° 20',5.3,28,*,number: 200
NGC2169,,Orion,Open cluster,6h 8.4m,13° 57',5.9,7,,number: 30
NGC2174,,Orion,Diffuse nebula,6h 9.7m,20° 30',7.6,40x30,,spec:O6e - around NGC2175
NGC2175,,Orion,Open cluster,6h 9.8m,20° 19',6.7,18,,number: 60
NGC2194,,Orion,Open cluster,6h 13.8m,12° 48',9.2,10,*,number: 80
NGC2215,,Monoceros,Open cluster,6h 21m,-7° 17',8.6,11,,number: 20
NGC2237,,Monoceros,Diffuse nebula,6h 32.3m,5° 3',,80x60,*,spec: O6 - Rosette Nebula
NGC2244,,Monoceros,Open cluster,6h 32.4m,4° 52',4.8,24,*,number: 16 - in Rosette
NGC2261,,Monoceros,Diffuse nebula,6h 39.2m,8° 44',10,2,!,spec:Bp-Hubble's Variable
NGC2264,,Monoceros,Diffuse nebula,6h 40.9m,9° 54',4.7,60x30,*,spectrum: O7n-Cone Nebula
NGC2264,,Monoceros,Open cluster,6h 41.1m,9° 53',3.9,20,*,Xmas Tree near Cone Neb.
NGC2266,,Gemini,Open cluster,6h 43.2m,26° 58',9.8,7,*,number: 50
NGC2281,,Auriga,Open cluster,6h 49.3m,41° 4',5.4,15,,number: 30
NGC2286,,Monoceros,Open cluster,6h 47.6m,-3° 10',7.5,15,,number: 50
NGC2287,M 41,Canis Major,Open cluster,6h 47m,-20° 44',4.6,38,*,number: 80
NGC2298,,Puppis,Globular cluster,6h 49m,-36° 0',9.4,1.8,,VI
NGC2301,,Monoceros,Open cluster,6h 51.8m,0° 28',5.8,12,,number: 80
NGC2323,M 50,Monoceros,Open cluster,7h 3.2m,-8° 20',5.9,10.0x5.5,*,number: 80
NGC2324,,Monoceros,Open cluster,7h 4.2m,1° 3',8.48,8,,number: 70
NGC2335,,Monoceros,Open cluster,7h 6.6m,-10° 5',7.2,12,,number: 35
NGC2353,,Monoceros,Open cluster,7h 14.6m,-10° 18',7.1,20,,number: 30
NGC2354,,Canis Major,Open cluster,7h 14.3m,-25° 44',6.5,20,,number: 100
NGC2360,,Canis Major,Open cluster,7h 17.8m,-15° 37',7.2,13,*,number: 80
NGC2362,,Canis Major,Open cluster,7h 18.8m,-24° 57',4.1,8,*,nmbr: 60 - striking clstr
NGC2371,,Gemini,Planetary nebula,7h 25.6m,29° 29',13,50x30,,cnt str:15.5 - double neb
NGC2392,,Gemini,Planetary nebula,7h 29.2m,20° 55',8.3,47x43,*,cnt str:10.5 - Eskimo Neb
NGC2395,,Gemini,Open cluster,7h 27.1m,13° 35',8,12,,number: 30
NGC2403,,Camelopardis,Spiral galaxy,7h 36.9m,65° 36',8.4,16.8x10,!,Sc - well resolved spiral
NGC2419,,Lynx,Globular cluster,7h 38.1m,38° 53',10.4,1.7,*,II - most distant GC
NGC2420,,Gemini,Open cluster,7h 38.5m,21° 34',8.3,10,*,number: 100
NGC2421,,Puppis,Open cluster,7h 36.3m,-20° 37',8.3,10,,number: 70
