Name Number,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
ALFREDA 1375,11.6,0.15,251.4388,31.934602,52.901692,5.831039,0.0690074,2.4479499,48800
ALFVEN 1778,11.6,0.15,14.968726,124.96996,107.15537,2.459545,0.1200312,3.1497864,48800
ALGERIA 1213,10.8,0.15,14.362666,104.69972,272.21888,13.051661,0.1396214,3.1305595,48800
ALGOA 1394,12.5,0.15,234.52184,113.31513,179.09461,2.66109,0.0777457,2.4396007,48800
ALGUNDE 929,12.1,0.15,128.44439,22.503936,231.66551,3.907427,0.1131276,2.2388376,48800
ALHAMBRA 3851,13.9,0.15,241.92331,96.714192,344.95137,4.635234,0.0642138,2.1746885,48800
ALICE 291,11.45,0.15,17.101796,331.36823,161.78787,1.849803,0.092668,2.2224191,48800
ALICEMANNING 4751,12,0.15,11.44447,120.12728,138.58306,2.5728,0.1610668,3.1756401,49000
ALIKOSKI 1567,9.47,0.15,351.89875,117.76491,51.839446,17.262509,0.0865841,3.2136724,48800
ALINDA 887,13.76,-0.12,246.00837,349.73924,110.8919,9.249987,0.5583688,2.4927985,48800
ALINE 266,8.8,0.15,7.126264,149.89971,236.27121,13.395174,0.157537,2.8040007,48800
ALISARY 2526,11.9,0.15,231.90785,61.570442,17.221433,3.285259,0.1852869,3.1314261,48800
ALKESTE 124,8.11,0.19,108.94476,62.513855,188.4501,2.94914,0.0786377,2.6298544,48800
ALKMENE 82,8.4,0.28,232.52268,110.29764,25.911666,2.837359,0.2204592,2.7637831,48800
ALLEGHENIA 457,11,0.15,306.32622,129.17302,250.04853,12.95645,0.1838425,3.0856299,48800
ALMA 390,10.39,0.15,287.77802,190.97351,305.52523,12.13557,0.12944,2.6524974,48800
ALOIS 3045,11.4,0.15,277.64632,336.04222,36.479562,3.34677,0.1164572,3.1285702,48800
ALPHONSINA 925,8.33,0.15,98.569562,199.53538,299.94486,21.111358,0.0813516,2.6990324,48800
ALSATIA 971,10.05,0.15,133.38399,6.229976,83.912997,13.785315,0.163909,2.6385505,48800
ALSCHMITT 1617,10.4,0.15,17.241547,26.113567,155.37843,13.250356,0.1389613,3.1910665,48800
ALSTEDE 955,11.1,0.15,17.680526,282.45886,351.74908,10.677731,0.2923217,2.5921348,48800
ALTAJ 2232,12,0.15,115.68343,90.135971,218.85576,3.692774,0.1425816,2.6663515,48800
ALTGAMIA 4857,13.2,0.15,168.76742,138.98393,31.86438,24.49475,0.2308808,2.3555563,49000
ALTHAEA 119,8.42,0.15,182.70843,170.93966,203.89195,5.763703,0.080992,2.5819864,48800
ALTONA 850,9.6,0.15,186.18111,131.86319,121.6627,15.502749,0.1320999,2.9952665,48800
ALU 4104,12.6,0.15,174.46101,242.80051,52.255093,15.675077,0.1044264,2.5438862,48800
ALUPKA 2508,13.5,0.15,318.42577,119.0209,191.77082,6.083299,0.1263685,2.3680044,48800
ALVA 2353,11.8,0.15,249.33188,300.0393,25.07584,4.801335,0.1116932,2.8055169,48800
ALVAREZ 3581,11.9,0.15,148.15109,107.28986,217.99002,28.785154,0.4086778,2.7726648,48800
ALWINE 1169,13,0.15,107.95539,176.54528,255.38397,4.049506,0.1550214,2.3186459,48800
AMALASUNTHA 650,12.93,0.15,355.8789,177.32611,215.72309,2.548795,0.1840369,2.4585598,48800
AMALIA 284,10.05,0.11,125.01965,57.653706,234.13183,8.052617,0.2236868,2.3576544,48800
AMALTHEA 113,8.74,0.35,18.169631,79.056695,123.65452,5.034267,0.0875841,2.3756141,48800
AMANDA 725,11.81,0.15,199.26907,322.8987,69.062268,3.788598,0.2191513,2.5722653,48800
AMARYLLIS 1085,9.4,0.15,250.89791,120.62445,140.34605,6.63865,0.0578039,3.1826246,48800
AMATA 1035,10.3,0.15,90.42421,323.50475,2.31517,18.105917,0.2044452,3.1348728,48800
AMAZONE 1042,9.8,0.15,105.46441,292.27677,52.817126,20.694954,0.1053234,3.2265328,48800
AMBARTSUMIAN 1905,13.5,0.15,10.525234,60.915143,201.64632,2.612336,0.1618476,2.2234703,48800
AMBER 2933,11.7,0.15,296.33906,222.12329,121.64271,7.223318,0.0492312,2.6082953,48800
AMBROSIA 193,9.68,0.15,64.571191,81.311146,350.3175,12.04257,0.2924345,2.6046367,48800
AMELIA 986,9.4,0.15,202.6137,266.35484,92.916828,14.781075,0.1902418,3.1486622,48800
AMELIN 3471,11.3,0.15,65.364522,168.54269,335.34123,15.369806,0.0604569,3.1888393,48800
AMENHOTEP 4847,14.7,0.15,172.28804,102.65558,125.33071,0.85485,0.0883453,2.1668513,49000
AMERICA 916,11.2,0.15,21.700008,40.694386,330.13438,11.130511,0.2365851,2.364257,48800
AMHERSTIA 516,8.27,0.15,208.36815,257.41631,329.43256,12.959326,0.2776873,2.6752464,48800
AMICI 3809,12.6,0.15,63.334313,307.83615,125.05123,6.550068,0.1042731,2.6928589,48800
AMICITIA 367,10.7,0.15,81.199764,55.009971,83.591799,2.944111,0.0956436,2.2191966,48800
AMNERIS 871,12.1,0.15,242.17702,66.053784,158.21235,4.247664,0.119779,2.221805,48800
AMNESTIA 2437,13.1,0.15,128.34698,150.80976,219.28484,2.937776,0.1476873,2.1892594,48800
AMOR 1221,17.7,0.15,219.02115,26.272617,171.53864,11.892484,0.4354593,1.9195831,48800
AMOSOV 2948,12.5,0.15,191.71048,244.54013,209.32972,12.307725,0.1085336,2.8622499,48800
AMPELLA 198,8.33,0.15,41.508556,88.036667,268.85193,9.28841,0.2307829,2.45784,48800
AMPHITRITE 29,5.85,0.2,78.652124,63.476396,356.6248,6.110749,0.0716065,2.5552279,48800
AMUN 3554,15.82,0.15,2.691902,359.323,358.71798,23.364528,0.2805391,0.9737176,48800
AMUNDSENIA 1065,13.2,0.15,58.194435,353.06971,330.58596,8.387774,0.2995261,2.359048,48800
AMY 3375,13.7,0.15,230.53382,352.3951,169.32841,1.074437,0.0255667,2.1719467,48800
ANACOSTIA 980,7.85,0.06,206.47391,69.850744,286.19749,15.884947,0.2011766,2.7422886,48800
ANACREON 2339,13.49,0.15,335.38039,340.87373,12.28697,4.858997,0.1968529,2.5266744,48800
ANAHITA 270,8.75,0.15,78.734092,79.791988,254.82396,2.364928,0.1509557,2.1979515,48800
