Name Number,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
1953TC 3958,12.1,0.15,337.49656,27.217843,12.075576,4.86261,0.2091606,2.4684676,48800
1953TH 3811,11.7,0.15,110.7852,68.004836,339.20575,10.229476,0.1286366,2.5785132,48800
1953TV 4046,12.1,0.15,98.473748,77.243282,207.90116,7.856869,0.0682617,2.6347489,48800
1953VN2 3265,13.3,0.15,148.12332,297.21429,73.156385,6.936818,0.1409178,2.4120956,48800
1954ER 1970,12,0.15,117.44299,191.07079,312.85715,7.095954,0.1598379,2.7799233,48800
1954UJ2 3572,12.8,0.15,176.42707,165.25617,233.0536,3.398833,0.1352163,2.7004022,48800
1954UN2 3959,14,0.15,26.666643,197.61671,211.12695,3.275482,0.1869085,2.2588397,48800
1954UO2 4463,12.6,0.15,209.33413,255.02968,158.07096,1.834119,0.1820385,3.1838064,48800
1955 QN 5536,12.7,0.15,48.8146,124.24074,250.90917,6.77429,0.0943482,2.2489929,49200
1955BG 3960,12,0.15,267.41716,10.941034,85.211982,14.455452,0.2778182,2.6441859,48800
1955SG1 4300,13.3,0.15,128.69758,147.13104,208.9157,3.783881,0.0971072,2.3328335,48800
1957 H 3648,13,0.15,108.67576,32.169875,209.18066,7.902037,0.1063146,2.4155277,48800
1957 UK1 4651,12.7,0.15,101.75279,238.60313,182.01238,1.72005,0.0582984,2.8495304,49000
1957 VA 5384,13.5,0.15,302.84896,89.01141,48.99363,27.09277,0.1035547,1.9355254,49000
1957HJ 2307,10.9,0.15,185.29901,344.99093,252.03041,7.716581,0.0630464,3.0436354,48800
1958 TH1 4961,12,0.15,69.8175,49.94881,315.74658,7.87806,0.2355374,3.13795,49000
1958GQ 3901,12.4,0.15,351.46859,231.65391,8.774596,12.816403,0.2754628,2.6269662,48800
1959CC1 2847,12.5,0.15,52.917661,11.733224,247.25263,2.447227,0.1152374,2.1693073,48800
1960FL 2103,10.8,0.15,259.03782,240.27913,292.39779,7.680605,0.1875194,3.1472295,48800
1961TA 2866,11.9,0.15,79.271229,23.8996,317.63147,8.246413,0.2041574,2.9090467,48800
1962 SR 5409,12.5,0.15,101.11447,58.73636,285.50898,8.76283,0.1573373,2.6163005,49000
1962FA 3179,11.9,0.15,280.541,270.19609,180.84373,1.739322,0.1552251,3.0970434,48800
1962OB 3961,12.1,0.15,40.172115,326.97812,316.82895,12.657919,0.1563757,2.621051,48800
1962RN 3882,12.6,0.15,354.93504,74.203812,195.82421,5.005758,0.1371224,2.450892,48800
1964 TA2 5537,13,0.15,164.0996,4.64815,339.94745,5.95557,0.1654553,2.2760238,49200
1964 TU2 5538,14,0.15,111.95097,44.8879,335.70054,5.23714,0.167129,2.2892749,49200
1964 VT1 5013,12.4,0.15,54.44168,12.50224,45.68373,3.709,0.0657905,2.7618596,49000
1964CG 3717,11.9,0.15,17.193197,59.793724,101.64325,2.564621,0.1793564,3.1531214,48800
1964JE 2854,13.2,0.15,217.5739,279.86743,292.70168,5.767804,0.1215326,2.2050306,48800
1964TC1 3746,12.4,0.15,340.95867,306.32924,24.591938,1.031515,0.2480749,3.1795618,48800
1964TG2 4360,12.8,0.15,200.20839,77.491766,331.46259,2.519763,0.1601226,2.5973385,48800
1964TN2 3542,11.9,0.15,17.472128,68.268219,266.4192,8.096519,0.0950859,3.1692418,48800
1964TR1 3502,11.8,0.15,39.199624,213.21195,105.10333,2.819114,0.1805707,3.1268871,48800
1964TT2 4047,13,0.15,218.82406,309.6737,32.028517,3.023547,0.2080133,2.6193415,48800
1964UC 4048,14.6,0.15,104.4798,21.765969,356.20046,3.221235,0.1868844,2.235389,48800
1964UO 3556,12.4,0.15,354.90754,141.96472,241.58071,9.264303,0.232631,3.1475288,48800
1964UQ 3405,12.3,0.15,279.39809,63.727,242.26769,13.162916,0.1148691,2.6103885,48800
1964VA3 3543,11.4,0.15,75.236601,112.95137,162.90855,1.039485,0.1669979,3.1838539,48800
1964VE 4388,13.4,0.15,249.36247,194.21658,214.02701,24.594469,0.2781576,2.3395677,48800
1964XA 3397,14.2,0.15,209.1826,95.446865,26.04625,22.000304,0.2982758,2.349387,48800
1965 SO 4913,12.8,0.15,85.62358,277.88755,41.82911,3.05608,0.1887964,2.4432259,49000
1965 UA1 5539,12.5,0.15,82.92108,120.89637,296.42735,1.82162,0.1545451,2.4366414,49200
1965AK1 3812,12.1,0.15,269.9814,39.292697,123.3401,18.377259,0.1099544,3.1783785,48800
1965SB 2914,13.8,0.15,285.62849,222.21038,166.97545,2.955016,0.1298892,2.261399,48800
1965SU 2719,13.5,0.15,26.111969,321.2202,125.38218,0.621501,0.1230852,2.1879262,48800
1965UZ 3513,12.9,0.15,163.79986,345.05297,324.2379,2.65062,0.0105609,2.6290582,48800
1965WR 2743,12.6,0.15,81.603318,136.27068,252.65283,12.262464,0.1745251,2.6547601,48800
1965YG 2886,13.2,0.15,115.20975,331.99856,107.79224,1.307418,0.1555622,2.3662432,48800
1966 CF 5267,13.1,0.15,125.40323,42.48102,114.3928,9.01508,0.0857093,2.3700782,49000
1966 CL 5217,14,0.15,58.0726,99.98784,124.34006,2.91439,0.1667895,2.3819603,49000
1966 PK 5298,12.6,0.15,5.5666,298.28197,70.2758,2.18669,0.2185047,2.9852731,49000
1966AA 3335,11.4,0.15,114.55365,179.18502,278.62805,13.322757,0.1292418,2.6089272,48800
1966BO 3678,13,0.15,119.34748,52.391627,142.18396,8.266451,0.1873829,2.5544353,48800
1966BZ 3844,11.7,0.15,70.54493,227.82812,138.3287,3.824201,0.1040023,2.7313805,48800
1966PG 4135,12,0.15,172.21121,175.33772,200.28935,7.929959,0.2315462,2.7914589,48800
1966PM 4301,12.3,0.15,66.338297,99.393172,52.362087,2.297887,0.1278743,3.0991124,48800
1966TE 4464,14,0.15,205.83428,314.01127,11.915906,20.211962,0.0677429,1.9527105,48800
1966TP 4067,12.8,0.15,351.06018,88.597384,329.14769,6.333668,0.18545,2.6278818,48800
1967 DA 5410,12.9,0.15,358.4989,340.1789,141.5247,4.01453,0.2753897,3.009124,49000
1967CB 3021,11.9,0.15,214.75912,97.000112,353.36347,16.574977,0.2609202,3.1712687,48800
1967CC 3962,12,0.15,169.41681,93.433243,50.526909,2.006874,0.1294948,3.2003981,48800
1967DB 4424,11.5,0.15,195.69576,13.852276,138.83076,14.727426,0.0771398,2.7582465,48800
1967UM 2767,11.6,0.15,355.16203,255.35681,66.309616,10.885704,0.0878695,3.0206102,48800
1967UN 3303,11.6,0.15,96.068728,277.5919,52.510557,2.771023,0.0731455,2.8956929,48800
1967UO 2667,12.2,0.15,147.85304,296.07725,61.306794,2.233461,0.1824818,3.2362746,48800
1967UQ 4425,13.9,0.15,251.94023,51.494394,68.085427,3.312009,0.1644108,2.3594644,48800
1967UR 3825,13,0.15,341.19862,144.8592,75.404765,5.148222,0.0946116,2.2412341,48800
1967UV 3769,13.7,0.15,66.007331,35.791286,56.769399,4.656717,0.1143415,2.2651545,48800
1968 OF 4878,14.9,0.15,355.25909,120.03045,224.30361,6.17433,0.1543511,2.2894066,49000
1968FJ 4136,13.6,0.15,247.28939,56.236212,155.34858,3.247014,0.1347742,2.3534884,48800
1968HP 4302,12.5,0.15,60.81761,100.13255,152.52369,5.690658,0.1325633,2.457122,48800
1968OC1 4228,13.8,0.15,279.05904,113.10012,223.44732,5.264442,0.1368118,2.3037044,48800
1968OG1 4590,13.4,0.15,269.39784,44.76481,168.47909,12.445856,0.180547,2.3728895,48800
1969 GD 4914,11.8,0.15,355.39627,150.8827,255.68128,12.54978,0.1595378,2.62559,49000
1969 LB 5299,11.9,0.15,319.99766,75.55389,326.52739,4.88347,0.0761647,3.1109703,49000
1969 TB3 5218,13.8,0.15,179.78563,88.35425,256.32413,2.97533,0.1533285,2.3518404,49000
