Luyten Plate,Red Plate,Blue Plate,Right ascension,Declination,Nominal ctr (1855),"Galactic Long, Lat",MicroSky[tm],SAO stars,Exposure date,Exposure (min),Seeing (1-5),Hour angle,Notes
78,E-548,O-548,23h 30.349m,66° 47.928m,+66 23h 24m,"115.05, 5.18",µ12 Field 78,367,1952-Aug-17 R: 00:06 B: 23:50,R: 50 B: 10,R: 2-3  B: 2,R: 01h23m E B: 01h39m E
79,E-1233,O-1233,0h 7.516m,60° 48.438m,+60 0h 00m,"117.6, -1.61",µ13 Field 79,535,1954-Sep-30 R: 23:09 B: 22:55,R: 50 B: 13,R: 3  B: 3,R: 00h06m E B: 00h25m E
80,E-596,O-596,0h 52.650m,60° 47.328m,+60 0h 44m,"123.08, -2.08",µ13 Field 80,495,1952-Sep-15 R: 23:44 B: 19:28,R: 60 B: 10,R: 2  B: 2,R: 01h13m E B: 01h28m E
81,E-1240,O-1240,1h 37.733m,60° 44.383m,+60 1h 28m,"128.56, -1.62",µ13 Field 81,517,1954-Oct-02 R: 00:15 B: 23:56,R: 50 B: 13,R: 2  B: 2,R: 00h22m E B: 00h40m E
82,E-597,O-597,2h 22.682m,60° 39.672m,+60 2h 12m,"133.88, -0.26",µ14 Field 82,508,1952-Sep-15 R: 01:10 B: 00:53,R: 60 B: 10,R: 2  B: 2,R: 01h16m E B: 01h33m E
83,E-968,O-968,3h 7.434m,60° 34.002m,+60 2h 56m,"138.89, 1.98",µ14 Field 83,422,1954-Jan-27 R: 18:30 B: 19:21,R: 40 B: 12,R: 3-4  B: 4,R: 00h06m W B: 00h57m W
84,E-957,O-957,3h 52.146m,60° 26.550m,+60 3h 40m,"143.49, 5",µ14 Field 84,315,1954-Jan-04 R: 20:27 B: 21:13,R: 40 B: 12,R: 2  B: 2,R: 00h12m E B: 00h34m W
85,E-663,O-663,4h 36.625m,60° 18.137m,+60 4h 24m,"147.58, 8.71",µ14 Field 85,269,1953-Feb-10 R: 19:01 B: 19:49,R: 40 B: 10,R: 1-2  B: 1,R: 00h04m W B: 00h53m W
86,E-993,O-993,5h 20.952m,60° 9.589m,+60 5h 08m,"151.06, 13.01",µ15 Field 86,228,1954-Mar-02 R: 18:56 B: 19:47,R: 45 B: 12,R: 2  B: 2,R: 00h33m W B: 01h24m W
87,E-959,O-959,6h 5.007m,60° 0.165m,+60 5h 52m,"153.88, 17.78",µ15 Field 87,260,1954-Jan-04 R: 22:34 B: 23:25,R: 40 B: 12,R: 2  B: 2,R: 00h17m E B: 00h29m W
